Team,Rank,GP,W,Season
Montreal Canadiens,1,20,15,1985
Calgary Flames,2,22,12,1985
St. Louis Blues,3,19,10,1985
New York Rangers,4,16,8,1985
Toronto Maple Leafs,5,10,6,1985
Edmonton Oilers,6,10,6,1985
Hartford Whalers,7,10,6,1985
Washington Capitals,8,9,5,1985
Minnesota North Stars,9,5,2,1985
Philadelphia Flyers,10,5,2,1985
Chicago Black Hawks,11,3,0,1985
Winnipeg Jets,12,3,0,1985
Vancouver Canucks,13,3,0,1985
Boston Bruins,14,3,0,1985
Quebec Nordiques,15,3,0,1985
New York Islanders,16,3,0,1985
Edmonton Oilers,1,21,16,1986
Philadelphia Flyers,2,26,15,1986
Montreal Canadiens,3,17,10,1986
Detroit Red Wings,4,16,9,1986
Quebec Nordiques,5,13,7,1986
Toronto Maple Leafs,6,13,7,1986
New York Islanders,7,14,7,1986
Winnipeg Jets,8,10,4,1986
Washington Capitals,9,7,3,1986
Calgary Flames,10,6,2,1986
Hartford Whalers,11,6,2,1986
New York Rangers,12,6,2,1986
St. Louis Blues,13,6,2,1986
Los Angeles Kings,14,5,1,1986
Chicago Blackhawks,15,4,0,1986
Boston Bruins,16,4,0,1986
Edmonton Oilers,1,19,16,1987
Boston Bruins,2,23,12,1987
New Jersey Devils,3,20,11,1987
Detroit Red Wings,4,16,9,1987
Washington Capitals,5,14,7,1987
St. Louis Blues,6,10,5,1987
Montreal Canadiens,7,11,5,1987
Calgary Flames,8,9,4,1987
Philadelphia Flyers,9,7,3,1987
Buffalo Sabres,10,6,2,1987
Toronto Maple Leafs,11,6,2,1987
Hartford Whalers,12,6,2,1987
New York Islanders,13,6,2,1987
Los Angeles Kings,14,5,1,1987
Winnipeg Jets,15,5,1,1987
Chicago Blackhawks,16,5,1,1987
Calgary Flames,1,22,16,1988
Montreal Canadiens,2,21,14,1988
Philadelphia Flyers,3,19,10,1988
Chicago Blackhawks,4,16,9,1988
Pittsburgh Penguins,5,11,7,1988
Boston Bruins,6,10,5,1988
St. Louis Blues,7,10,5,1988
Los Angeles Kings,8,11,4,1988
Vancouver Canucks,9,7,3,1988
Edmonton Oilers,10,7,3,1988
Detroit Red Wings,11,6,2,1988
Washington Capitals,12,6,2,1988
Buffalo Sabres,13,5,1,1988
Minnesota North Stars,14,5,1,1988
Hartford Whalers,15,4,0,1988
New York Rangers,16,4,0,1988
Edmonton Oilers,1,22,16,1989
Boston Bruins,2,21,13,1989
Chicago Blackhawks,3,20,10,1989
Washington Capitals,4,15,8,1989
St. Louis Blues,5,12,7,1989
New York Rangers,6,10,5,1989
Montreal Canadiens,7,11,5,1989
Los Angeles Kings,8,10,4,1989
Minnesota North Stars,9,7,3,1989
Winnipeg Jets,10,7,3,1989
Hartford Whalers,11,7,3,1989
Calgary Flames,12,6,2,1989
Buffalo Sabres,13,6,2,1989
New Jersey Devils,14,6,2,1989
Toronto Maple Leafs,15,5,1,1989
New York Islanders,16,5,1,1989
Pittsburgh Penguins,1,24,16,1990
Minnesota North Stars,2,23,14,1990
Boston Bruins,3,19,10,1990
Edmonton Oilers,4,18,9,1990
Montreal Canadiens,5,13,7,1990
Los Angeles Kings,6,12,6,1990
St. Louis Blues,7,13,6,1990
Washington Capitals,8,11,5,1990
New Jersey Devils,9,7,3,1990
Calgary Flames,10,7,3,1990
Detroit Red Wings,11,7,3,1990
Hartford Whalers,12,6,2,1990
Buffalo Sabres,13,6,2,1990
New York Rangers,14,6,2,1990
Chicago Blackhawks,15,6,2,1990
Vancouver Canucks,16,6,2,1990
Pittsburgh Penguins,1,21,16,1991
Chicago Blackhawks,2,18,12,1991
Boston Bruins,3,15,8,1991
Edmonton Oilers,4,16,8,1991
Vancouver Canucks,5,13,6,1991
New York Rangers,6,13,6,1991
Detroit Red Wings,7,11,4,1991
