Team,Rank,GP,W,Season
Tampa Bay Lightning,1,22,16,2019
Dallas Stars,2,24,14,2019
New York Islanders,3,18,10,2019
Vegas Golden Knights,4,17,9,2019
Colorado Avalanche,5,12,7,2019
Philadelphia Flyers,6,13,7,2019
Vancouver Canucks,7,13,7,2019
Boston Bruins,8,10,5,2019
Calgary Flames,9,6,2,2019
Montreal Canadiens,10,6,2,2019
St. Louis Blues,11,6,2,2019
Arizona Coyotes,12,5,1,2019
Carolina Hurricanes,13,5,1,2019
Chicago Blackhawks,14,5,1,2019
Columbus Blue Jackets,15,5,1,2019
Washington Capitals,16,5,1,2019
