PlayoffRank,GP,W,Season,FullName,Abbreviation,SeasonRank
1,20,15,1985,Montreal Canadiens,MTL,7
2,22,12,1985,Calgary Flames,CGY,6
3,19,10,1985,St. Louis Blues,STL,12
4,16,8,1985,New York Rangers,NYR,13
5,10,6,1985,Toronto Maple Leafs,TOR,16
6,10,6,1985,Edmonton Oilers,EDM,1
7,10,6,1985,Hartford Whalers,HFD,11
8,9,5,1985,Washington Capitals,WSH,3
9,5,2,1985,Minnesota North Stars,MNS,10
10,5,2,1985,Philadelphia Flyers,PHI,2
11,3,0,1985,Chicago Black Hawks,CHI,8
12,3,0,1985,Winnipeg Jets,WPG,14
13,3,0,1985,Vancouver Canucks,VAN,15
14,3,0,1985,Boston Bruins,BOS,9
15,3,0,1985,Quebec Nordiques,QUE,4
16,3,0,1985,New York Islanders,NYI,5
1,21,16,1986,Edmonton Oilers,EDM,1
2,26,15,1986,Philadelphia Flyers,PHI,2
3,17,10,1986,Montreal Canadiens,MTL,5
4,16,9,1986,Detroit Red Wings,DET,11
5,13,7,1986,Quebec Nordiques,QUE,13
6,13,7,1986,Toronto Maple Leafs,TOR,15
7,14,7,1986,New York Islanders,NYI,9
8,10,4,1986,Winnipeg Jets,WPG,6
9,7,3,1986,Washington Capitals,WSH,7
10,6,2,1986,Calgary Flames,CGY,3
11,6,2,1986,Hartford Whalers,HFD,4
12,6,2,1986,New York Rangers,NYR,12
13,6,2,1986,St. Louis Blues,STL,10
14,5,1,1986,Los Angeles Kings,LAK,16
15,4,0,1986,Chicago Blackhawks,CHI,14
16,4,0,1986,Boston Bruins,BOS,8
1,19,16,1987,Edmonton Oilers,EDM,3
2,23,12,1987,Boston Bruins,BOS,4
3,20,11,1987,New Jersey Devils,NJD,10
4,16,9,1987,Detroit Red Wings,DET,5
5,14,7,1987,Washington Capitals,WSH,7
6,10,5,1987,St. Louis Blues,STL,13
7,11,5,1987,Montreal Canadiens,MTL,2
8,9,4,1987,Calgary Flames,CGY,1
9,7,3,1987,Philadelphia Flyers,PHI,8
10,6,2,1987,Buffalo Sabres,BUF,9
11,6,2,1987,Toronto Maple Leafs,TOR,16
12,6,2,1987,Hartford Whalers,HFD,11
13,6,2,1987,New York Islanders,NYI,6
14,5,1,1987,Los Angeles Kings,LAK,15
15,5,1,1987,Winnipeg Jets,WPG,12
16,5,1,1987,Chicago Blackhawks,CHI,14
1,22,16,1988,Calgary Flames,CGY,1
2,21,14,1988,Montreal Canadiens,MTL,2
3,19,10,1988,Philadelphia Flyers,PHI,10
4,16,9,1988,Chicago Blackhawks,CHI,16
5,11,7,1988,Pittsburgh Penguins,PIT,6
6,10,5,1988,Boston Bruins,BOS,5
7,10,5,1988,St. Louis Blues,STL,13
8,11,4,1988,Los Angeles Kings,LAK,4
9,7,3,1988,Vancouver Canucks,VAN,14
10,7,3,1988,Edmonton Oilers,EDM,7
11,6,2,1988,Detroit Red Wings,DET,11
12,6,2,1988,Washington Capitals,WSH,3
13,5,1,1988,Buffalo Sabres,BUF,8
14,5,1,1988,Minnesota North Stars,MNS,15
15,4,0,1988,Hartford Whalers,HFD,12
16,4,0,1988,New York Rangers,NYR,9
1,22,16,1989,Edmonton Oilers,EDM,5
2,21,13,1989,Boston Bruins,BOS,1
3,20,10,1989,Chicago Blackhawks,CHI,6
4,15,8,1989,Washington Capitals,WSH,13
5,12,7,1989,St. Louis Blues,STL,10
6,10,5,1989,New York Rangers,NYR,9
7,11,5,1989,Montreal Canadiens,MTL,4
8,10,4,1989,Los Angeles Kings,LAK,15
9,7,3,1989,Minnesota North Stars,MNS,14
10,7,3,1989,Winnipeg Jets,WPG,8
11,7,3,1989,Hartford Whalers,HFD,7
12,6,2,1989,Calgary Flames,CGY,2
13,6,2,1989,Buffalo Sabres,BUF,3
14,6,2,1989,New Jersey Devils,NJD,11
15,5,1,1989,Toronto Maple Leafs,TOR,12
16,5,1,1989,New York Islanders,NYI,16
1,24,16,1990,Pittsburgh Penguins,PIT,7
2,23,14,1990,Minnesota North Stars,MNS,15
3,19,10,1990,Boston Bruins,BOS,5
4,18,9,1990,Edmonton Oilers,EDM,11
5,13,7,1990,Montreal Canadiens,MTL,6
6,12,6,1990,Los Angeles Kings,LAK,3
7,13,6,1990,St. Louis Blues,STL,2
8,11,5,1990,Washington Capitals,WSH,9
9,7,3,1990,New Jersey Devils,NJD,12
10,7,3,1990,Calgary Flames,CGY,4
11,7,3,1990,Detroit Red Wings,DET,13
12,6,2,1990,Hartford Whalers,HFD,14
13,6,2,1990,Buffalo Sabres,BUF,10
14,6,2,1990,New York Rangers,NYR,8
15,6,2,1990,Chicago Blackhawks,CHI,1
16,6,2,1990,Vancouver Canucks,VAN,16
1,21,16,1991,Pittsburgh Penguins,PIT,6
2,18,12,1991,Chicago Blackhawks,CHI,8
3,15,8,1991,Boston Bruins,BOS,9
4,16,8,1991,Edmonton Oilers,EDM,12
5,13,6,1991,Vancouver Canucks,VAN,4
6,13,6,1991,New York Rangers,NYR,1
7,11,4,1991,Detroit Red Wings,DET,3
8,11,4,1991,Montreal Canadiens,MTL,5
9,7,3,1991,Minnesota North Stars,MNS,15
10,7,3,1991,Winnipeg Jets,WPG,13
11,7,3,1991,Buffalo Sabres,BUF,14
12,7,3,1991,Hartford Whalers,HFD,16
13,7,3,1991,New Jersey Devils,NJD,7
14,7,3,1991,Washington Capitals,WSH,2
15,6,2,1991,St. Louis Blues,STL,11
16,6,2,1991,Los Angeles Kings,LAK,10
1,20,16,1992,Montreal Canadiens,MTL,6
2,24,13,1992,Los Angeles Kings,LAK,11
3,21,11,1992,Toronto Maple Leafs,TOR,8
4,18,9,1992,New York Islanders,NYI,13
5,11,7,1992,St. Louis Blues,STL,16
6,12,7,1992,Pittsburgh Penguins,PIT,1
7,12,6,1992,Vancouver Canucks,VAN,7
8,8,4,1992,Buffalo Sabres,BUF,15
9,7,3,1992,Detroit Red Wings,DET,5
