Team,Rank,Season
EDM,1,1985
PHI,2,1985
WSH,3,1985
QUE,4,1985
NYI,5,1985
CGY,6,1985
MTL,7,1985
CHI,8,1985
BOS,9,1985
MNS,10,1985
HFD,11,1985
STL,12,1985
BUF,13,1985
NYR,14,1985
PIT,15,1985
NJD,16,1985
WPG,17,1985
VAN,18,1985
TOR,19,1985
LAK,20,1985
DET,21,1985
EDM,1,1986
PHI,2,1986
CGY,3,1986
HFD,4,1986
MTL,5,1986
WPG,6,1986
WSH,7,1986
BOS,8,1986
NYI,9,1986
STL,10,1986
DET,11,1986
NYR,12,1986
QUE,13,1986
PIT,14,1986
CHI,15,1986
TOR,16,1986
LAK,17,1986
MNS,18,1986
VAN,19,1986
NJD,20,1986
BUF,21,1986
CGY,1,1987
MTL,2,1987
EDM,3,1987
BOS,4,1987
DET,5,1987
NYI,6,1987
WSH,7,1987
PHI,8,1987
BUF,9,1987
NJD,10,1987
NYR,11,1987
PIT,12,1987
HFD,13,1987
WPG,14,1987
STL,15,1987
QUE,16,1987
CHI,17,1987
LAK,18,1987
VAN,19,1987
TOR,20,1987
MNS,21,1987
CGY,1,1988
MTL,2,1988
WSH,3,1988
LAK,4,1988
BOS,5,1988
PIT,6,1988
EDM,7,1988
BUF,8,1988
NYR,9,1988
PHI,10,1988
DET,11,1988
HFD,12,1988
STL,13,1988
VAN,14,1988
MNS,15,1988
CHI,16,1988
NJD,17,1988
WPG,18,1988
TOR,19,1988
NYI,20,1988
QUE,21,1988
BOS,1,1989
CGY,2,1989
BUF,3,1989
MTL,4,1989
EDM,5,1989
CHI,6,1989
HFD,7,1989
WPG,8,1989
NYR,9,1989
STL,10,1989
NJD,11,1989
TOR,12,1989
WSH,13,1989
MNS,14,1989
LAK,15,1989
NYI,16,1989
PIT,17,1989
PHI,18,1989
DET,19,1989
VAN,20,1989
QUE,21,1989
CHI,1,1990
STL,2,1990
LAK,3,1990
CGY,4,1990
BOS,5,1990
MTL,6,1990
PIT,7,1990
NYR,8,1990
WSH,9,1990
BUF,10,1990
EDM,11,1990
NJD,12,1990
DET,13,1990
PHI,14,1990
HFD,15,1990
MNS,16,1990
VAN,17,1990
WPG,18,1990
NYI,19,1990
TOR,20,1990
QUE,21,1990
NYR,1,1991
WSH,2,1991
DET,3,1991
VAN,4,1991
MTL,5,1991
PIT,6,1991
NJD,7,1991
CHI,8,1991
BOS,9,1991
LAK,10,1991
STL,11,1991
EDM,12,1991
WPG,13,1991
NYI,14,1991
PHI,15,1991
CGY,16,1991
BUF,17,1991
MNS,18,1991
TOR,19,1991
HFD,20,1991
QUE,21,1991
SJS,22,1991
PIT,1,1992
BOS,2,1992
CHI,3,1992
QUE,4,1992
DET,5,1992
MTL,6,1992
VAN,7,1992
TOR,8,1992
CGY,9,1992
WSH,10,1992
LAK,11,1992
WPG,12,1992
NYI,13,1992
NJD,14,1992
BUF,15,1992
STL,16,1992
PHI,17,1992
MNS,18,1992
NYR,19,1992
EDM,20,1992
HFD,21,1992
TBL,22,1992
SJS,23,1992
OTT,24,1992
NYR,1,1993
NJD,2,1993
PIT,3,1993
DET,4,1993
TOR,5,1993
BOS,6,1993
DAL,7,1993
CGY,8,1993
MTL,9,1993
BUF,10,1993
STL,11,1993
WSH,12,1993
CHI,13,1993
VAN,14,1993
NYI,15,1993
FLA,16,1993
SJS,17,1993
PHI,18,1993
QUE,19,1993
ANA,20,1993
TBL,21,1993
LAK,22,1993
EDM,23,1993
HFD,24,1993
WPG,25,1993
OTT,26,1993
DET,1,1994
QUE,2,1994
PIT,3,1994
STL,4,1994
PHI,5,1994
BOS,6,1994
CGY,7,1994
CHI,8,1994
